name,region
METRO MANILA,NCR - National Capital Region
ABRA,CAR - Cordillera Administrative Region
APAYAO,CAR - Cordillera Administrative Region
BENGUET,CAR - Cordillera Administrative Region
IFUGAO,CAR - Cordillera Administrative Region
KALINGA,CAR - Cordillera Administrative Region
MOUNTAIN PROVINCE,CAR - Cordillera Administrative Region
ILOCOS NORTE,REGION I (Ilocos Region)
ILOCOS SUR,REGION I (Ilocos Region)
LA UNION,REGION I (Ilocos Region)
PANGASINAN,REGION I (Ilocos Region)
BATANES,REGION II (Cagayan Valley)
CAGAYAN,REGION II (Cagayan Valley)
ISABELA,REGION II (Cagayan Valley)
NUEVA VIZCAYA,REGION II (Cagayan Valley)
QUIRINO,REGION II (Cagayan Valley)
AURORA,REGION III (Central Luzon)
BATAAN,REGION III (Central Luzon)
BULACAN,REGION III (Central Luzon)
NUEVA ECIJA,REGION III (Central Luzon)
PAMPANGA,REGION III (Central Luzon)
TARLAC,REGION III (Central Luzon)
ZAMBALES,REGION III (Central Luzon)
BATANGAS,REGION IV-A (CALABARZON)
CAVITE,REGION IV-A (CALABARZON)
LAGUNA,REGION IV-A (CALABARZON)
QUEZON,REGION IV-A (CALABARZON)
RIZAL,REGION IV-A (CALABARZON)
MARINDUQUE,REGION IV-B (MIMAROPA)
OCCIDENTAL MINDORO,REGION IV-B (MIMAROPA)
ORIENTAL MINDORO,REGION IV-B (MIMAROPA)
PALAWAN,REGION IV-B (MIMAROPA)
ROMBLON,REGION IV-B (MIMAROPA)
ALBAY,REGION V (Bicol Region)
CAMARINES NORTE,REGION V (Bicol Region)
CAMARINES SUR,REGION V (Bicol Region)
CATANDUANES,REGION V (Bicol Region)
MASBATE,REGION V (Bicol Region)
SORSOGON,REGION V (Bicol Region)
AKLAN,REGION VI (Western Visayas)
ANTIQUE,REGION VI (Western Visayas)
CAPIZ,REGION VI (Western Visayas)
GUIMARAS,REGION VI (Western Visayas)
ILOILO,REGION VI (Western Visayas)
NEGROS OCCIDENTAL,REGION VI (Western Visayas)
BOHOL,REGION VII (Central Visayas)
CEBU,REGION VII (Central Visayas)
NEGROS ORIENTAL,REGION VII (Central Visayas)
SIQUIJOR,REGION VII (Central Visayas)
BILIRAN,REGION VIII (Eastern Visayas)
EASTERN SAMAR,REGION VIII (Eastern Visayas)
LEYTE,REGION VIII (Eastern Visayas)
NORTHERN SAMAR,REGION VIII (Eastern Visayas)
SAMAR (WESTERN SAMAR),REGION VIII (Eastern Visayas)
SOUTHERN LEYTE,REGION VIII (Eastern Visayas)
ZAMBOANGA DEL NORTE,REGION IX (Zamboanga Peninsula)
ZAMBOANGA DEL SUR,REGION IX (Zamboanga Peninsula)
ZAMBOANGA SIBUGAY,REGION IX (Zamboanga Peninsula)
CITY OF ISABELA (Not a Province),REGION IX (Zamboanga Peninsula)
BUKIDNON,REGION X (Northern Mindanao)
CAMIGUIN,REGION X (Northern Mindanao)
LANAO DEL NORTE,REGION X (Northern Mindanao)
MISAMIS OCCIDENTAL,REGION X (Northern Mindanao)
MISAMIS ORIENTAL,REGION X (Northern Mindanao)
COMPOSTELA VALLEY,REGION XI (Davao Region)
DAVAO DEL NORTE,REGION XI (Davao Region)
DAVAO DEL SUR,REGION XI (Davao Region)
DAVAO ORIENTAL,REGION XI (Davao Region)
COTABATO (NORTH COTABATO),REGION XII (Soccsksargen)
SARANGANI,REGION XII (Soccsksargen)
SOUTH COTABATO,REGION XII (Soccsksargen)
SULTAN KUDARAT,REGION XII (Soccsksargen)
COTABATO CITY (Not a Province),REGION XII (Soccsksargen)
AGUSAN DEL NORTE,REGION XIII (Caraga)
AGUSAN DEL SUR,REGION XIII (Caraga)
DINAGAT ISLANDS,REGION XIII (Caraga)
SURIGAO DEL NORTE,REGION XIII (Caraga)
SURIGAO DEL SUR,REGION XIII (Caraga)
BASILAN,ARMM - Autonomous Region in Muslim Mindanao
LANAO DEL SUR,ARMM - Autonomous Region in Muslim Mindanao
MAGUINDANAO,ARMM - Autonomous Region in Muslim Mindanao
SULU,ARMM - Autonomous Region in Muslim Mindanao
TAWI-TAWI,ARMM - Autonomous Region in Muslim Mindanao
